Color,Breed_Group,Sex upon Intake,Intake Type,Location_Group,Age_Days,Name,Animal ID
Black,Mixed,Intact Female,Stray,Austin Area,30,Onyx,A741782
Black,Mixed,Intact Female,Public Assist,Austin Area,1825,Dina,A669310
Gray,Mixed,Unknown,Stray,Austin Area,21,,A735630
Black,Shepherd,Spayed Female,Stray,Austin Area,1095,*Lulu,A813744
Brown,Domestic,Intact Female,Stray,Austin Area,6205,Makita,A817672
Brown,Mixed,Spayed Female,Owner Surrender,Austin Area,1460,Amy,A698351
Black,Mixed,Spayed Female,Stray,Austin Area,3285,*Jenny,A695626
Tan,Mixed,Intact Female,Stray,Austin Area,1460,*Renee,A714941
Tan,Mixed,Intact Male,Stray,Austin Area,365,Chico,A704396
Brown,Mixed,Intact Female,Stray,Austin Area,30,,A756356
Black,Mixed,Spayed Female,Public Assist,Other,3285,Donut,A590330
Brown,Mixed,Intact Female,Stray,Austin Area,28,,A773709
White,Labrador,Spayed Female,Owner Surrender,Other,300,Kayla,A803009
White,Mixed,Intact Male,Stray,Austin Area,365,Dallas,A733333
Gray,Mixed,Spayed Female,Owner Surrender,Austin Area,3650,Gracie,A672187
Black,Mixed,Spayed Female,Stray,Austin Area,3650,Midnight,A559953
White,Labrador,Intact Female,Stray,Manor,365,*Cinnamon,A734095
Tan,Mixed,Neutered Male,Stray,Other,3650,Gordon,A805846
Orange,Mixed,Intact Male,Stray,Austin Area,30,,A692585
Black,Mixed,Unknown,Stray,Austin Area,730,,A792612
Black,Mixed,Intact Male,Stray,Austin Area,30,*Mewtwo,A817702
Brown,Domestic,Intact Male,Stray,Austin Area,4,,A822052
White,Mixed,Unknown,Stray,Austin Area,21,,A761350
White,Mixed,Intact Male,Stray,Austin Area,30,,A728737
Black,Domestic,Intact Female,Stray,Austin Area,21,*Georgina,A802616
Black,Other,Intact Female,Stray,Austin Area,365,*Darla,A764057
Brown,Domestic,Unknown,Stray,Austin Area,14,,A824364
Black,Other,Intact Female,Stray,Other,730,Brigitta,A813456
Other,Mixed,Intact Female,Owner Surrender,Austin Area,30,*Cj,A821271
Black,Mixed,Intact Female,Stray,Austin Area,30,,A784037
Tan,Mixed,Intact Male,Stray,Austin Area,0,,A752326
Brown,Domestic,Unknown,Owner Surrender,Austin Area,1460,Ralph,A802144
Black,Mixed,Spayed Female,Public Assist,Austin Area,730,Kadee,A761366
Tan,Mixed,Intact Female,Stray,Austin Area,1825,*Penelope,A730668
Black,Mixed,Intact Male,Stray,Austin Area,1095,Stitch,A763394
Black,Chihuahua,Intact Male,Public Assist,Manor,730,L.D.,A753390
White,Mixed,Unknown,Stray,Austin Area,1,,A702329
Black,Mixed,Spayed Female,Stray,Other,1825,*Java,A704514
Orange,Mixed,Intact Male,Stray,Austin Area,14,,A701907
Black,Chihuahua,Intact Female,Stray,Austin Area,365,Lucy,A789472
